id,type,insight_id,enable,name,display_name,created_at,updated_at
35418064,CustomEvent,3840,1,trackTapJobDetailKeepAddButton,【タップ】キープする（【画面】求人詳細）,2017-09-05T12:22:38.508383,2018-01-16T02:32:31.417891
37131652,CustomEvent,3840,1,trackTapJobDetailKeepReleaseButton,【タップ】キープ解除（【画面】求人詳細）,2018-10-29T05:35:19.488467,2018-10-29T06:14:24.499951
35418022,CustomEvent,3840,1,trackTapJobListEntryButton,【タップ】応募する（【画面】検索結果）,2017-09-05T11:10:38.852368,2018-01-16T02:32:31.417891
35417987,CustomEvent,3840,1,trackTapJobListJobDetailAnchor,【タップ】求人詳細（【画面】検索結果）,2017-09-05T09:58:14.318092,2018-01-16T02:32:31.417891
35418069,CustomEvent,3840,1,trackTapJobListKeepAddButton,【タップ】キープする（【画面】検索結果）,2017-09-05T12:47:25.435802,2018-01-16T02:32:31.417891
37128704,CustomEvent,3840,1,trackTapJobListKeepReleaseButton,【タップ】キープ解除する（【画面】検索結果）,2018-10-26T05:31:49.012560,2018-10-29T06:14:24.514068
37128702,CustomEvent,3840,1,trackTapJobListSearchFormButton,【タップ】詳細検索（【画面】検索結果）,2018-10-26T05:31:48.972482,2018-10-29T06:14:24.525757
37131493,CustomEvent,3840,1,trackTapJobListSortButton,【タップ】並び替え（【画面】検索結果）,2018-10-29T02:44:55.315188,2018-10-29T06:14:24.537467
35417984,CustomEvent,3840,1,trackTapJobListToSearchFormButton,【タップ】条件を変更（詳細条件で検索する）,2017-09-05T09:58:14.318092,2018-01-16T02:32:31.417891
35420541,CustomEvent,3840,1,trackTapJobScoutStatusOnButton,【タップ】受諾,2017-09-15T12:00:31.142911,2018-11-22T03:49:39.420278
35420430,CustomEvent,3840,1,trackTapKeepAddButton,【タップ】キープする,2017-09-15T05:32:38.247386,2018-01-16T02:32:31.417891
35418288,CustomEvent,3840,1,trackTapKeepListEntryButton,【タップ】応募する（【画面】キープリスト）,2017-09-06T13:44:08.952951,2018-01-16T02:32:31.417891
35419237,CustomEvent,3840,1,trackTapKeepListEntryMultipleButton,【タップ】チェックした求人に応募,2017-09-11T05:41:54.033431,2018-01-16T02:32:31.417891
